epoch,time,train/box,train/seg,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box,val/seg,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
59,3617.7,1.12467,2.18211,1.68643,1.22395,0.43078,0.1743,0.14029,0.10684,0.42939,0.17087,0.13729,0.09533,1.05817,2.09457,3.58434,1.15789,8.8516e-05,8.8516e-05,8.8516e-05
60,7223.35,1.12269,2.17644,1.67522,1.22139,0.44142,0.16894,0.13988,0.10671,0.43985,0.16704,0.13693,0.09537,1.05698,2.09178,3.59358,1.15718,8.8318e-05,8.8318e-05,8.8318e-05
61,10815.5,1.12085,2.17568,1.66666,1.21799,0.44085,0.17296,0.14142,0.10765,0.44068,0.16983,0.13828,0.0965,1.05501,2.08835,3.59539,1.15566,8.812e-05,8.812e-05,8.812e-05
62,14416.9,1.11313,2.15788,1.65508,1.21495,0.40597,0.18482,0.14167,0.10786,0.4056,0.18093,0.13855,0.09679,1.05318,2.08405,3.58267,1.15423,8.7922e-05,8.7922e-05,8.7922e-05
63,18021.5,1.11021,2.1496,1.64494,1.21218,0.39615,0.18607,0.14315,0.10925,0.39453,0.18279,0.14013,0.09814,1.05041,2.07813,3.5637,1.15218,8.7724e-05,8.7724e-05,8.7724e-05
64,21620.8,1.10169,2.13524,1.62924,1.2087,0.4114,0.18357,0.14399,0.10991,0.40973,0.18043,0.14085,0.09878,1.04812,2.07268,3.54963,1.1508,8.7526e-05,8.7526e-05,8.7526e-05
65,25412.6,1.09739,2.12653,1.61949,1.20413,0.41428,0.18449,0.14535,0.11104,0.41231,0.18167,0.14246,0.09982,1.0455,2.06707,3.53345,1.14883,8.7328e-05,8.7328e-05,8.7328e-05
66,29209.6,1.09593,2.12125,1.60829,1.20106,0.4166,0.18599,0.1468,0.11227,0.42035,0.1793,0.14397,0.10095,1.04287,2.06091,3.51643,1.14688,8.713e-05,8.713e-05,8.713e-05
67,32993,1.08961,2.10874,1.60275,1.19895,0.41007,0.1876,0.14846,0.11384,0.40828,0.18437,0.14577,0.10228,1.03961,2.05491,3.50242,1.14464,8.6932e-05,8.6932e-05,8.6932e-05
68,36789.6,1.08765,2.10238,1.58924,1.19688,0.4217,0.17892,0.14964,0.11471,0.41981,0.17615,0.14678,0.10311,1.03653,2.04839,3.47862,1.14229,8.6734e-05,8.6734e-05,8.6734e-05
69,3643.96,1.09779,2.12472,1.61955,1.20692,0.42019,0.18269,0.14963,0.11498,0.41932,0.17861,0.14673,0.10312,1.03618,2.04622,3.48034,1.14226,8.6536e-05,8.6536e-05,8.6536e-05
70,7245.39,1.09675,2.12281,1.61744,1.20413,0.41551,0.18487,0.15062,0.11579,0.41411,0.18131,0.1479,0.10404,1.03504,2.04397,3.47967,1.14158,8.6338e-05,8.6338e-05,8.6338e-05
